Keywords,Definitions
Abortion,n. 1 natural or (esp.) Induced expulsion of a foetus from the womb before it is able to survive independently. 2 stunted or deformed creature or thing. 3 failed project or action.
Abortive,"adj. Fruitless, unsuccessful."
Abound,"v. 1 be plentiful. 2 (foll. By in, with) be rich; teem. [latin unda wave]"
About,"prep. 1 a on the subject of (a book about birds). B relating to (glad about it). C in relation to (symmetry about a plane). 2 at a time near to (about six). 3 a in, round (walked about the town; a scarf about her neck). B all round from a centre (look about you). 4 at points in (strewn about the house). 5 carried with (no money about me). 6 occupied with (about her business). adv. 1 a approximately (about ten miles). B colloq. In an understatement (just about had enough). 2 nearby (a lot of flu about). 3 in every direction (look about). 4 on the move; in action (out and about). 5 in rotation or succession (turn and turn about)."
About-face,"n. & int. = *about-turn, about turn."
About-turn,n. 1 turn made so as to face the opposite direction. 2 change of opinion or policy etc. int. (about turn) mil. Command to make an about-turn.
Above,"prep. 1 over; on the top of; higher than; over the surface of (head above water; above the din). 2 more than (above twenty people). 3 higher in rank, importance, etc., than. 4 a too great or good for (not above cheating). B beyond the reach of (above my understanding; above suspicion). adv. 1 at or to a higher point; overhead (the floor above; the sky above). 2 earlier on a page or in a book (as noted above). adj. Preceding (the above argument). n. (prec. By the) preceding text (the above shows)."
Above-board,adj. & adv. Without concealment; open or openly.
Abracadabra,int. Supposedly magic word used in conjuring. n. Spell or charm. [latin from greek]
Abrade,"v. (-ding) scrape or wear away (skin, rock, etc.) By rubbing. [latin rado scrape]"
Abrasion,"n. 1 scraping or wearing away (of skin, rock, etc.). 2 resulting damaged area."
Abrasive,adj. 1 a tending to rub or graze. B capable of polishing by rubbing or grinding. 2 harsh or hurtful in manner. n. Abrasive substance.
Abreast,adv. 1 side by side and facing the same way. 2 (foll. By of) up to date.
Abridge,"v. (-ging) shorten (a book, film, etc.)."
Abroad,adv. 1 in or to a foreign country or countries. 2 widely (scatter abroad). 3 in circulation (rumour abroad).
Abrogate,"v. (-ting) repeal, abolish (a law etc.)."
Abrupt,"adj. 1 sudden, hasty (abrupt end). 2 (of manner etc.) Curt. 3 steep, precipitous."
Abscess,"n. (pl. Abscesses) swelling containing pus. [latin: related to *ab-, *cede]"
Abseil,"v. Descend by using a doubled rope coiled round the body and fixed at a higher point. n. Descent made by abseiling. [german ab down, seil rope]"
Absence,n. 1 being away. 2 time of this. 3 (foll. By of) lack of.
Absent,"adj. 1 not present. 2 not existing; lacking. 3 inattentive. v.refl. Go, or stay, away."
Absentee,n. Person not present.
Absenteeism,"n. Absenting oneself from work or school etc., esp. Frequently or illicitly."
Absentee landlord,n. One who lets a property while living elsewhere.
Absent-minded,adj. Forgetful or inattentive.
Absinth,n. 1 wormwood. 2 (usu. Absinthe) aniseed-flavoured liqueur based on this. [french from latin]
Absolute,"adj. 1 complete, utter (absolute bliss). 2 unconditional (absolute authority). 3 despotic (absolute monarch). 4 not relative or comparative (absolute standard). 5 gram. A (of a construction) syntactically independent of the rest of the sentence, as in dinner being over, we left the table. B (of an adjective or transitive verb) without an expressed noun or object (e.g. The deaf, guns kill). 6 (of a legal decree etc.) Final. n. Philos. (prec. By the) that which can exist independently of anything else. [latin: related to *absolve]"
Absolutely,"adv. 1 completely, utterly. 2 in an absolute sense (god exists absolutely). 3"
Absolute majority,n. Majority over all rivals combined.
Absolute pitch,n. Ability to recognize or sound any given note.
Absolute temperature,n. One measured from absolute zero.
Absolute zero,n. Theoretical lowest possible temperature calculated as 273.15 c (or 0 k).
Absolution,n. Formal forgiveness of sins.
Absolutism,n. Principle or practice of absolute government.
Absolve,"v. (-ving) (often foll. By from, of) set or pronounce free from blame or obligation etc. [latin: related to *solve]"
Absorb,"v. 1 incorporate as part of itself or oneself. 2 take in, suck up (liquid, heat, knowledge, etc.). 3 reduce the effect or intensity of; deal easily with (an impact, sound, difficulty, etc.). 4 consume (resources etc.). 5 (often as absorbing adj.) Engross the attention of. [latin sorbeo suck in]"
Absorbent,adj. Tending to absorb. n. Absorbent substance or organ.
Absorption,n. 1 absorbing or being absorbed. 2 mental engrossment.
Abstain,v. 1 (usu. Foll. By from) refrain from indulging (abstained from smoking). 2 decline to vote. [latin teneo tent- hold]
Abstemious,"adj. Moderate or ascetic, esp. In eating and drinking."
Abstention,"n. Abstaining, esp. From voting. [latin: related to *abstain]"
Abstinence,"n. Abstaining, esp. From food or alcohol."
Abstract,"adj. 1 a of or existing in thought or theory rather than matter or practice; not concrete. B (of a word, esp. A noun) denoting a quality, condition, etc., not a concrete object. 2 (of art) achieving its effect by form and colour rather than by realism. v. 1 (often foll. By from) extract, remove. 2 summarize. n. 1 summary. 2 abstract work of art. 3 abstraction or abstract term. [latin: related to *tract1]"
Abstracted,"adj. Inattentive, distracted."
Abstraction,n. 1 abstracting or taking away. 2 abstract or visionary idea. 3 abstract qualities (esp. In art). 4 absent-mindedness.
Abstruse,"adj. Hard to understand, profound. [latin abstrudo -trus- conceal]"
Absurd,adj. Wildly illogical or inappropriate; ridiculous.
Abta,abbr. Association of british travel agents.
Abundance,n. 1 plenty; more than enough; a lot. 2 wealth. [latin: related to *abound]
Abundance,n. 1 plenty; more than enough; a lot. 2 wealth. [latin: related to *abound]
Abundant,adj. 1 plentiful. 2 (foll. By in) rich (abundant in fruit).
Abuse,"v. (-sing) 1 use improperly, misuse. 2 insult verbally. 3 maltreat. n. 1 misuse. 2 insulting language. 3 unjust or corrupt practice. 4 maltreatment (child abuse)."
Abusive,"adj. Insulting, offensive."
Abut,"v. (-tt-) 1 (foll. By on) (of land) border on. 2 (foll. By on, against) (of a building) touch or lean upon (another). [anglo-latin butta strip of land: related to *butt1]"
Abutment,"n. Lateral supporting structure of a bridge, arch, etc."
Abuzz,adv. & adj. In a state of excitement or activity.
Abysmal,"adj. 1 colloq. Extremely bad (abysmal food). 2 profound, utter (abysmal ignorance)."
Abyss,"n. 1 deep chasm. 2 immeasurable depth (abyss of despair). [latin from greek, = bottomless]"
Ac,abbr. 1 (also ac) alternating current. 2 aircraftman.
Ac,symb. Actinium.
A/c,abbr. Account. [account current]
-ac,"suffix forming adjectives often (or only) used as nouns (cardiac; maniac). [latin -acus, greek -akos]"
Acacia,"n. Tree with yellow or white flowers, esp. One yielding gum arabic. [latin from greek]"
Academia,n. The academic world; scholastic life.
Academic,"adj. 1 scholarly, of learning. 2 of no practical relevance; theoretical. n. Teacher or scholar in a university etc."
Academician,n. Member of an academy. [french acadmicien]
Academy,"n. (pl. -ies) 1 place of specialized training (military academy). 2 (usu. Academy) society or institution of distinguished scholars, artists, scientists, etc. (royal academy). 3 scot. Secondary school. [greek akademeia the place in athens where plato taught]"
Acanthus,n. (pl. -thuses) 1 herbaceous plant with spiny leaves. 2 archit. Representation of its leaf. [latin from greek]
A cappella,"adj. & adv. (of choral music) unaccompanied. [italian, = in church style]"
Acas,"abbr. Advisory, conciliation, and arbitration service."
Accede,"v. (-ding) (foll. By to) 1 take office, esp. As monarch. 2 assent or agree. [latin: related to *cede]"
Accelerate,v. (-ting) move or cause to move or happen more quickly.
Accelerator,"n. 1 device for increasing speed, esp. The pedal controlling the speed of a vehicle's engine. 2 physics apparatus for imparting high speeds to charged particles."
Accent,"n. 1 particular (esp. Local or national) mode of pronunciation. 2 distinctive feature or emphasis (accent on speed). 3 prominence given to a syllable by stress or pitch. 4 mark on a letter or word to indicate pitch, stress, or vowel quality. v. 1 emphasize (a word or syllable etc.). 2 write or print accents on (words etc.). 3 accentuate. [latin cantus song]"
Accentuate,"v. (-ting) emphasize, make prominent."
Accept,"v. 1 (also absol.) Willingly receive (a thing offered). 2 (also absol.) Answer affirmatively (an offer etc.). 3 regard favourably; treat as welcome (felt accepted). 4 believe, receive (an opinion, explanation, etc.) As adequate or valid. 5 take as suitable (does accept cheques). 6 undertake (an office or duty). [latin capio take]"
Acceptable,"adj. 1 worth accepting, welcome. 2 tolerable."
Acceptance,"n. 1 willingness to accept. 2 affirmative answer to an invitation etc. 3 approval, belief (found wide acceptance)."
Access,"n. 1 way of approach or entry (shop with rear access). 2 a right or opportunity to reach or use or visit; admittance (access to secret files, to the prisoner). B accessibility. 3 archaic outburst (an access of anger). v. 1 computing gain access to (data etc.). 2 accession. [french: related to *accede]"
Accessible,adj. (often foll. By to) 1 reachable or obtainable; readily available. 2 easy to understand.
Accession,"n. 1 taking office, esp. As monarch. 2 thing added. v. Record the addition of (a new item) to a library etc."
Accessory,"n. (pl. -ies) 1 additional or extra thing. 2 (usu. In pl.) Small attachment, fitting, or subsidiary item of dress (e.g. Shoes, gloves). 3 (often foll. By to) person who abets or is privy to an (esp. Illegal) act. [medieval latin: related to *accede]"
Access road,n. Road giving access only to the properties along it.
Access time,n. Computing time taken to retrieve data from storage.
Accident,"n. 1 unfortunate esp. Harmful event, caused unintentionally. 2 event that is unexpected or without apparent cause."
Accidental,adj. Happening by chance or accident. n. Mus. Sign indicating a note's momentary departure from the key signature.
Accident-prone,adj. Clumsy.
Acclaim,"v. 1 welcome or applaud enthusiastically. 2 hail as (acclaimed him king). n. Applause, welcome, public praise. [latin acclamo: related to *claim]"
Acclamation,n. 1 loud and eager assent. 2 (usu. In pl.) Shouting in a person's honour.
Acclimatize,v. (also -ise) (-zing or -sing) adapt to a new climate or conditions.
Accolade,n. 1 praise given. 2 touch made with a sword at the conferring of a knighthood. [latin collum neck]
Accommodate,"v. (-ting) 1 provide lodging or room for (flat accommodates two). 2 adapt, harmonize, reconcile (must accommodate himself to new ideas). 3 a do favour to, oblige (a person). B (foll. By with) supply (a person) with. [latin: related to *commode]"
Accommodating,"adj. Obliging, compliant."
Accommodation,"n. 1 lodgings. 2 adjustment, adaptation. 3 convenient arrangement; settlement, compromise."
Accommodation address,n. Postal address used by a person unable or unwilling to give a permanent address.
Accompaniment,"n. 1 instrumental or orchestral support for a solo instrument, voice, or group. 2 accompanying thing."
Accompany,"v. (-ies, -ied) 1 go with; escort. 2 (usu. In passive; foll. By with, by) be done or found with; supplement. 3 mus. Partner with accompaniment. [french: related to *companion]"
Accomplice,n. Partner in a crime etc. [latin: related to *complex]
Accomplish,"v. Succeed in doing; achieve, complete. [latin: related to *complete]"
Accomplished,"adj. Clever, skilled."
Accomplishment,"n. 1 completion (of a task etc.). 2 acquired, esp. Social, skill. 3 thing achieved."
Accord,"v. 1 (often foll. By with) be consistent or in harmony. 2 grant (permission, a request, etc.); give (a welcome etc.). n. 1 agreement, consent. 2 mus. & art etc. Harmony."
Accordance,n.
According,adv. 1 (foll. By to) a as stated by (according to mary). B in proportion to (lives according to his means). 2 (foll. By as + clause) in a manner or to a degree that varies as (pays according as he is able).
Accordingly,"adv. 1 as circumstances suggest or require (please act accordingly). 2 consequently (accordingly, he left the room)."
Accordion,"n. Musical reed instrument with concertina-like bellows, keys, and buttons."
Accost,"v. 1 approach and address (a person), esp. Boldly. 2 (of a prostitute) solicit. [latin costa rib]"
Accession,"n. 1 taking office, esp. As monarch. 2 thing added. v. Record the addition of (a new item) to a library etc."
Accessory,"n. (pl. -ies) 1 additional or extra thing. 2 (usu. In pl.) Small attachment, fitting, or subsidiary item of dress (e.g. Shoes, gloves). 3 (often foll. By to) person who abets or is privy to an (esp. Illegal) act. [medieval latin: related to *accede]"
Access road,n. Road giving access only to the properties along it.
Access time,n. Computing time taken to retrieve data from storage.
Accident,"n. 1 unfortunate esp. Harmful event, caused unintentionally. 2 event that is unexpected or without apparent cause."
Accidental,adj. Happening by chance or accident. n. Mus. Sign indicating a note's momentary departure from the key signature.
Accident-prone,adj. Clumsy.
Acclaim,"v. 1 welcome or applaud enthusiastically. 2 hail as (acclaimed him king). n. Applause, welcome, public praise. [latin acclamo: related to *claim]"
Acclamation,n. 1 loud and eager assent. 2 (usu. In pl.) Shouting in a person's honour.
Acclimatize,v. (also -ise) (-zing or -sing) adapt to a new climate or conditions.
Accolade,n. 1 praise given. 2 touch made with a sword at the conferring of a knighthood. [latin collum neck]
Accommodate,"v. (-ting) 1 provide lodging or room for (flat accommodates two). 2 adapt, harmonize, reconcile (must accommodate himself to new ideas). 3 a do favour to, oblige (a person). B (foll. By with) supply (a person) with. [latin: related to *commode]"
Accommodating,"adj. Obliging, compliant."
Accommodation,"n. 1 lodgings. 2 adjustment, adaptation. 3 convenient arrangement; settlement, compromise."
Accommodation address,n. Postal address used by a person unable or unwilling to give a permanent address.
Accompaniment,"n. 1 instrumental or orchestral support for a solo instrument, voice, or group. 2 accompanying thing."
Accompany,"v. (-ies, -ied) 1 go with; escort. 2 (usu. In passive; foll. By with, by) be done or found with; supplement. 3 mus. Partner with accompaniment. [french: related to *companion]"
Accomplice,n. Partner in a crime etc. [latin: related to *complex]
Accomplish,"v. Succeed in doing; achieve, complete. [latin: related to *complete]"
Accomplished,"adj. Clever, skilled."
Accomplishment,"n. 1 completion (of a task etc.). 2 acquired, esp. Social, skill. 3 thing achieved."
Accord,"v. 1 (often foll. By with) be consistent or in harmony. 2 grant (permission, a request, etc.); give (a welcome etc.). n. 1 agreement, consent. 2 mus. & art etc. Harmony."
Accordance,n.
According,adv. 1 (foll. By to) a as stated by (according to mary). B in proportion to (lives according to his means). 2 (foll. By as + clause) in a manner or to a degree that varies as (pays according as he is able).
Accordingly,"adv. 1 as circumstances suggest or require (please act accordingly). 2 consequently (accordingly, he left the room)."
Accordion,"n. Musical reed instrument with concertina-like bellows, keys, and buttons."
Accost,"v. 1 approach and address (a person), esp. Boldly. 2 (of a prostitute) solicit. [latin costa rib]"
Account,"n. 1 narration, description (an account of his trip). 2 arrangement at a bank etc. For depositing and withdrawing money, credit, etc. (open an account). 3 record or statement of financial transactions with the balance (kept detailed accounts). v. Consider as (account him wise, a fool)."
Accountable,"adj. 1 responsible; required to account for one's conduct. 2 explicable, understandable."
Accountant,n. Professional keeper or verifier of accounts.
Accouterments,"n.pl. (brit. Accoutrements) 1 equipment, trappings. 2 soldier's equipment excluding weapons and clothes. [french]"
Accoutrements,"n.pl. (us accouterments) 1 equipment, trappings. 2 soldier's equipment excluding weapons and clothes. [french]"
Accredit,"v. (-t-) 1 (foll. By to) attribute (a saying etc.) To (a person). 2 (foll. By with) credit (a person) with (a saying etc.). 3 (usu. Foll. By to or at) send (an ambassador etc.) With credentials. 4 gain influence for or make credible (an adviser, a statement, etc.). [french: related to *credit]"
Accredited,adj. 1 officially recognized. 2 generally accepted.
Accretion,"n. 1 growth or increase by accumulation, addition, or organic enlargement. 2 the resulting whole. 3 a matter so added. B adhesion of this to the core matter. [latin cresco cret- grow]"
Accrue,"v. (-ues, -ued, -uing) (often foll. By to) come as a natural increase or advantage, esp. Financial. [latin: related to *accretion]"
Accumulate,"v. (-ting) 1 acquire an increasing number or quantity of; amass, collect. 2 grow numerous; increase. [latin: related to *cumulus]"
Accumulation,n. 1 accumulating or being accumulated. 2 accumulated mass. 3 growth of capital by continued interest.
Accumulator,"n. 1 rechargeable electric cell. 2 bet placed on a sequence of events, with the winnings and stake from each placed on the next."
Accuracy,n. Exactness or careful precision. [latin cura care]
Accurate,"adj. Careful, precise; conforming exactly with the truth or a standard."
Accursed,"adj. 1 under a curse. 2 colloq. Detestable, annoying. [old english a- intensive prefix, *curse]"
Accusation,n. Accusing or being accused. [french: related to *accuse]
Accusative,gram. n. Case expressing the object of an action. adj. Of or in this case.
Accusatory,adj. Of or implying accusation.
Accuse,v. (-sing) (often foll. By of) charge with a fault or crime; blame. [latin accusare: related to *cause]
Accustom,v. (foll. By to) make used to (accustomed him to hardship). [french: related to *custom]
Accustomed,"adj. 1 (usu. Foll. By to) used to a thing. 2 customary, usual."
Ace,n. 1 playing-card etc. With a single spot and generally signifying one. 2 a person who excels in some activity. B pilot who has shot down many enemy aircraft. 3 (in tennis) unreturnable stroke (esp. A service). adj. Slang excellent.
Acellular,adj. Having no cells; not consisting of cells.
Aceous,"suffix forming adjectives in the sense of the nature of, esp. In the natural sciences (herbaceous). [latin -aceus]"
Acerbic,"adj. Harsh and sharp, esp. In speech or manner."
Acetaldehyde,"n. Colourless volatile liquid aldehyde. [from *acetic, *aldehyde]"
Acetate,"n. 1 salt or ester of acetic acid, esp. The cellulose ester. 2 fabric made from this."
Acetic,adj. Of or like vinegar. [latin acetum vinegar]
Acetic acid,n. Clear liquid acid giving vinegar its characteristic taste.
Acetone,"n. Colourless volatile liquid that dissolves organic compounds, esp. Paints, varnishes, etc."
Acetylene,"n. Hydrocarbon gas burning with a bright flame, used esp. In welding."
Ache,n. 1 continuous dull pain. 2 mental distress. v. (-ching) suffer from or be the source of an ache. [old english]
Achieve,"v. (-ving) 1 reach or attain, esp. By effort (achieved victory; achieved notoriety). 2 accomplish (a feat or task). [french achever: related to *chief]"
Achievement,n. 1 something achieved. 2 act of achieving.
Achilles heel,"n. Person's weak or vulnerable point. [achilles, greek hero in the iliad]"
Achilles tendon,n. Tendon connecting the heel with the calf muscles.
Achromatic,adj. Optics 1 transmitting light without separation into constituent colours (achromatic lens). 2 without colour.
Achy,"adj. (-ier, -iest) full of or suffering from aches."
Acid,"n. 1 a any of a class of substances that liberate hydrogen ions in water, are usu. Sour and corrosive, turn litmus red, and have a ph of less than 7. B any compound or atom donating protons. 2 any sour substance. 3 slang the drug lsd. adj. 1 sour. 2 biting, sharp (an acid wit). 3 chem. Having the essential properties of an acid."
Acid house,"n. A type of synthesized music with a simple repetitive beat, often associated with hallucinogenic drugs."
Acid rain,"n. Acid, esp. From industrial waste gases, falling with rain."
Acid test,n. Severe or conclusive test.
Acidulous,adj. Somewhat acid.
Ack-ack,colloq. adj. Anti-aircraft. n. Anti-aircraft gun etc. [formerly signallers' term for aa]
Acknowledge,"v. (-ging) 1 recognize; accept the truth of (acknowledged its failure). 2 confirm the receipt of (a letter etc.). 3 a show that one has noticed (acknowledged my arrival with a grunt). B express appreciation of (a service etc.). 4 recognize the validity of, own (the acknowledged king). [from *ad-, *knowledge]"
Acknowledgement,"n. 1 act of acknowledging. 2 a thing given or done in gratitude. B letter confirming receipt of something. 3 (usu. In pl.) Author's statement of gratitude, prefacing a book."
Acme,n. Highest point (of achievement etc.). [greek]
Acne,n. Skin condition with red pimples. [latin]
Acolyte,n. 1 person assisting a priest. 2 assistant; beginner. [greek akolouthos follower]
Aconite,"n. 1 any of various poisonous plants, esp. Monkshood. 2 drug from these. [greek akoniton]"
Acorn,"n. Fruit of the oak, with a smooth nut in a cuplike base. [old english]"
Acoustic,adj. 1 of sound or the sense of hearing. 2 (of a musical instrument etc.) Without electrical amplification (acoustic guitar).
Acoustics,n.pl. 1 properties or qualities (of a room etc.) In transmitting sound. 2 (usu. As sing.) Science of sound.
Acquaint,v. (usu. Foll. By with) make aware of or familiar with (acquaint me with the facts).
Acquaintance,n. 1 being acquainted. 2 person one knows slightly.
Acquiesce,"v. (-cing) 1 agree, esp. By default. 2 (foll. By in) accept (an arrangement etc.)."
Acquire,"v. (-ring) gain for oneself; come into possession of. [latin: related to *ad-, quaero quisit- seek]"
Acquired immune deficiency syndrome,see *aids.
Acquired taste,n. 1 liking developed by experience. 2 object of this.
Acquirement,"n. Thing acquired, esp. A mental attainment."
Acquisition,"n. 1 thing acquired, esp. When useful. 2 acquiring or being acquired. [latin: related to *acquire]"
Acquisitive,adj. Keen to acquire things.
Acquit,v. (-tt-) 1 (often foll. By of) declare not guilty. 2 refl. A behave or perform in a specified way (acquitted herself well). B (foll. By of) discharge (a duty or responsibility).
Acre,"n. Measure of land, 4,840 sq. Yds., 0.405 ha. [old english]"
Acreage,n. A number of acres; extent of land.
Acrid,"adj. (-er, -est) bitterly pungent."
Acrimonious,adj. Bitter in manner or temper.
Acrobat,n. Entertainer performing gymnastic feats.
Acrobatics,n.pl. 1 acrobatic feats. 2 (as sing.) Art of performing these.
Acronym,"n. Word formed from the initial letters of other words (e.g. Laser, nato). [greek akron end, onoma name]"
Acropolis,"n. Citadel of an ancient greek city. [greek akron summit, polis city]"
Across,prep. 1 to or on the other side of (across the river). 2 from one side to another side of (spread across the floor). 3 at or forming an angle with (a stripe across the flag). adv. 1 to or on the other side (ran across). 2 from one side to another (stretched across).
Acrostic,"n. Poem etc. In which certain letters (usu. The first and last in each line) form a word or words. [greek akron end, stikhos row]"
Acrylic,"adj. Of synthetic material made from acrylic acid. n. Acrylic fibre or fabric. [latin acer pungent, oleo to smell]"
Acrylic acid,n. A pungent liquid organic acid.
Act,"n. 1 something done; a deed. 2 process of doing (caught in the act). 3 item of entertainment. 4 pretence (all an act). 5 main division of a play etc. 6 a decree of a legislative body. B document attesting a legal transaction. v. 1 behave (acted wisely). 2 perform an action or function; take action (act as referee; brakes failed to act; he acted quickly). 3 (also foll. By on) have an effect (alcohol acts on the brain). 4 a perform a part in a play, film, etc. B pretend. 5 a play the part of (acted othello; acts the fool). B perform (a play etc.). C portray (an incident) by actions."
Acting,n. Art or occupation of an actor. attrib. Adj. Serving temporarily or as a substitute (acting manager).
Actinism,"n. Property of short-wave radiation that produces chemical changes, as in photography. [greek aktis ray]"
Actinium,n. Chem. Radioactive metallic element found in pitchblende. [as *actinism]
Action,"n. 1 process of doing or acting (demanded action). 2 forcefulness or energy. 3 exertion of energy or influence (action of acid on metal). 4 deed, act (not aware of his actions). 5 (the action) a series of events in a story, play, etc. B slang exciting activity (missed the action). 6 battle, fighting (killed in action). 7 a mechanism of an instrument. B style of movement of an animal or human. 8 lawsuit."
Actionable,adj. Giving cause for legal action.
Action-packed,adj. Full of action or excitement.
Action point,n. Proposal for action.
Action replay,"n. Playback of part of a television broadcast, esp. A sporting event, often in slow motion."
Action stations,n.pl. Positions taken up by troops etc. Ready for battle.
